menuLine,guestPrice,studentPrice
Aktionsmenü,"6,75","4,90"
Angebot d. Tages vegan,"6,50","2,65"
Angebot d. Tages veget.,"6,50","2,65"
Angebot des Tages,"6,30","2,65"
Auswahlgericht,"7,80","3,50"
Auswahlgericht 2,"7,90","3,60"
Auswahlgericht vegan,"7,60","3,40"
Auswahlgericht vegan 2,"7,80","3,50"
Auswahlgericht veget.,"7,60","3,40"
Auswahlgericht veget. 2,"7,60","3,30"
Beilagen vorport.,"1,55","0,95"
Dessert vorport.,"1,55","0,95"
Salat-/ Gemüsebuffet 100g,"1,40","1,00"
Tagesmenü,"6,75","3,10"
Tagesmenü vegan,"6,75","3,10"
Tagesmenü vegetarisch,"6,75","3,10"
mensaVital,"8,70","4,70"
mensaVital vegan,"8,30","4,00"
mensaVital vegetarisch,"8,40","4,10"
Dessert SB,"1,25","0,75"
Beilagen SB,"1,85","0,75"
